Mfg Part Num	Mfg Name	Description	VID	Vendor Part Num	Pkg Code
AtMega32U4-XUAU	Atmel	Microcontroller	http://www.mouser.com/ProductDetail/Atmel/ATMEGA32U4-MU/?qs=sGAEpiMZZMvAvBNgSS9LqtMxt75eRjif		
67997-206HLF	FCI	Connector ISP	http://www.digikey.com/product-detail/en/67997-206HLF/609-3234-ND/1878491	609-3234-ND	
ECS	ECS-160-20-3X-TR	Crystal	http://www.digikey.com/product-detail/en/ECS-160-20-3X-TR/XC1776CT-ND/2676640	XC1776CT-ND	
550-1307F	Dialight	LED – Green	http://www.digikey.com/product-detail/en/550-1307F/350-1627-ND/809025	350-1627-ND	
NVC-MDCS42A	iNova	BT Module	n/a	#VALUE!	
					
RHT03	Maxdetect	Sensor Temp-Humidity 	http://www.ebay.com/itm/NEW-DHT22-AM2302-Digital-Temperature-Humidity-Sensor-Replace-SHT11-SHT15-Logger-/271175728425?pt=LH_DefaultDomain_0&hash=item3f23553d29		
PPD60PV-T2	SHINYEI	Sensor Dust 	n/a		
F16FB-05LLC /E	Copol	Fan Copol	http://www.digikey.com/product-search/en?vendor=0&keywords=copal+blower	#VALUE!	
S4B-EH	JST Sales America	Connector (Dust Sensor)	http://www.digikey.com/product-detail/en/S4B-EH/455-1030-ND/527254	455-1030-ND	
					
10103594-0001LF	FCI	Connector USB Micro	http://www.digikey.com/product-detail/en/10103594-0001LF/609-4050-1-ND/2350357	609-4050-1-ND	
LC2259EENP	E-Switch	Power Button	http://www.futureelectronics.com/en/Technologies/Product.aspx?ProductID=LC2259EENPESWITCH6265227&IM=0		
585460_2000mAh	UnionFortune	Battery – Lion	http://www.jayconsystems.com/3-7-volt-rechargeable-lithium-battery-2000-mah.html		
CONN-08352	Sparkfun	Conn Battery	https://www.sparkfun.com/products/8612		
RT6150BGQW	Richtek USA	Voltage Reg Buck-Boost	http://www.digikey.com/product-detail/en/RT6150BGQW/1028-1260-1-ND/4733184	1028-1260-1-ND	
MCP73831T-2ACI/OT	Miocrochip	Volteage Reg USB	http://www.digikey.com/product-detail/en/MCP73831T-2ACI%2FOT/MCP73831T-2ACI%2FOTCT-ND/1979802	MCP73831T-2ACI%2FOTCT-ND	
BRL3225T2R2M	Taiyo Yuden	Inductor 2.2uH	http://www.digikey.com/product-detail/en/BRL3225T2R2M/587-2165-1-ND/2002863	587-2165-1-ND	
NRS5020T6R8MMGJ	Taiyo Yuden	Inductor 6uH	http://www.digikey.com/product-detail/en/NRS5020T6R8MMGJ/587-2408-1-ND/2230274	587-2408-1-ND	
RT9819C-26GV	Richtek	Low Voltage Detect	http://www.digikey.com/product-detail/en/RT9819C-26GV/1028-1022-1-ND/2470081	1028-1022-1-ND	
MF-MSMF050-2	Bourns Inc.	Fuse Resetable	http://www.digikey.com/product-detail/en/MF-MSMF050-2/MF-MSMF050-2CT-ND/662842	MF-MSMF050-2CT-ND	
					
IRLML2246TRPBF	International Rectifier	MOSFET–P	http://www.digikey.com/product-detail/en/IRLML2246TRPBF/IRLML2246TRPBFCT-ND/2639576	IRLML2246TRPBFCT-ND	
B130LAW-7-F	Diodes Incorporated	Diode Schottkey	http://www.digikey.com/product-detail/en/B130LAW-7-F/B130LAW-FDICT-ND/725052	B130LAW-FDICT-ND	
MH2029-300Y	Bourns Inc.	Ferite Bead	http://www.digikey.com/product-detail/en/MH2029-300Y/MH2029-300YCT-ND/3741761	MH2029-300YCT-ND	
CG0603MLC-05E	Bourns Inc.	Varistor	http://www.digikey.com/product-detail/en/CG0603MLC-05E/CG0603MLC-05ECT-ND/3438061	CG0603MLC-05ECT-ND	
					
CL10C200JB8NNNC	Samsung	Capacitor 0603 20pF	http://www.digikey.com/product-detail/en/CL10C200JB8NNNC/1276-1187-1-ND/3889273	1276-1187-1-ND	
C1608X7R1E104K080AA	TDK	Capacitor 0603 100nF	http://www.digikey.com/product-detail/en/C1608X7R1E104K080AA/445-1316-1-ND/567697	445-1316-1-ND	
C1608X5R1C105K080AA	TDK	Capacitor 0603 1uF	http://www.digikey.com/product-detail/en/C1608X5R1C105K080AA/445-1416-1-ND/569082	445-1416-1-ND	
C2012X5R1C106K085AC	TDK	Capacitor 0805 10uF	http://www.digikey.com/product-detail/en/C2012X5R1C106K085AC/445-7644-1-ND/2733716	445-7644-1-ND	
					
RC0603JR-070RL	Yageo	Resistor 0603 0 Ohm	http://www.digikey.com/product-detail/en/RC0603JR-070RL/311-0.0GRCT-ND/729622	311-0.0GRCT-ND	
RC0603JR-0722RL	Yageo	Resistor 0603 22 Ohm	http://www.digikey.com/product-detail/en/RC0603JR-0722RL/311-22GRCT-ND/729690	311-22GRCT-ND	
RC0603FR-072KL	Yageo	Resistor 0603 2k	http://www.digikey.com/product-detail/en/RC0603FR-072KL/311-2.00KHRCT-ND/729956	311-2.00KHRCT-ND	
RC0603JR-0710KL	Yageo	Resistor 0603 10k	http://www.digikey.com/product-detail/en/RC0603JR-0710KL/311-10KGRCT-ND/729647	311-10KGRCT-ND	
RC0805FR-0753K6L	Yageo	Resistor 0603 53.6 	http://www.digikey.com/product-detail/en/RC0805FR-0753K6L/311-53.6KCRCT-ND/730972	311-53.6KCRCT-ND	
ERJ-3EKF8662V	Panasonic	Resistor 0603 86.6k	http://www.digikey.com/product-detail/en/ERJ-3EKF8662V/P86.6KHCT-ND/198534	P86.6KHCT-ND	
ERJ-3EKF4873V	Panasonic	Resistor 0603 487k	http://www.digikey.com/product-detail/en/ERJ-3EKF4873V/P487KHCT-ND/198411	P487KHCT-ND	
RC0603FR-071ML	Yageo	Resistor 0603 1M	http://www.digikey.com/product-detail/en/RC0603FR-071ML/311-1.00MHRCT-ND/729791	311-1.00MHRCT-ND	
					
NDS331N	Fairchild	MOSFET – N	http://www.digikey.com/product-detail/en/NDS331N/NDS331NCT-ND/458997	NDS331NCT-ND	
DNP	DO NOT POPULATE	DO NOT POPULATE	DO NOT POPULATE		
